City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Cockburn Town,TC,21.4612,-71.1419,79.07,72,11,6.78,few clouds
299,Paamiut,GL,61.994,-49.6678,33.12,94,100,4.27,light snow
300,Okhotsk,RU,59.3833,143.3,5.49,74,100,16.26,overcast clouds
301,Kirensk,RU,57.7853,108.1119,-42.18,100,63,0.96,broken clouds
302,Pergamino,AR,-33.89,-60.5736,74.25,34,13,7.67,few clouds
303,Sagaing,MM,21.8787,95.9797,69.69,74,4,2.91,clear sky
304,Nemuro,JP,43.3236,145.575,32.43,66,99,9.53,overcast clouds
305,Goderich,CA,43.7501,-81.7165,26.92,63,100,18.41,overcast clouds
306,Boysun,UZ,38.2061,67.1986,42.08,73,92,2.19,overcast clouds
307,Narsaq,GL,60.9167,-46.05,44.82,64,100,13.24,light rain
308,Qaqortoq,GL,60.7167,-46.0333,45.1,55,100,13.33,overcast clouds
309,Kyzyl-Suu,KG,42.3414,78.0056,25.72,59,63,7.58,broken clouds
310,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.17,96,100,0.38,light rain
311,Haljala,EE,59.4336,26.2614,21.4,80,98,15.88,light snow
312,Antalaha,MG,-14.9003,50.2788,77.34,91,80,4.88,broken clouds
313,Abaza,RU,52.655,90.0928,1.45,95,43,2.93,scattered clouds
314,Launceston,AU,-41.45,147.1667,71.62,40,40,3.0,scattered clouds
315,Srandakan,ID,-7.9386,110.2506,83.37,73,98,6.29,overcast clouds
316,Orlik,RU,52.5178,99.825,-15.38,99,99,1.43,overcast clouds
317,Caravelas,BR,-17.7125,-39.2481,75.58,92,81,11.48,heavy intensity rain
318,Pevek,RU,69.7008,170.3133,-16.22,100,100,2.39,overcast clouds
319,Port Hardy,CA,50.6996,-127.4199,39.2,100,75,6.91,broken clouds
320,Vao,NC,-22.6667,167.4833,76.41,70,0,11.21,clear sky
321,Umm Lajj,SA,25.0213,37.2685,64.31,49,5,12.66,clear sky
322,Martapura,ID,-3.4167,114.85,75.29,94,40,8.05,scattered clouds
323,Cavalcante,BR,-13.7975,-47.4583,68.65,94,67,1.36,broken clouds
324,Puro,PH,12.4841,123.3827,82.98,68,100,8.48,overcast clouds
325,Salalah,OM,17.0151,54.0924,68.09,60,0,1.14,clear sky
326,Poya,NC,-21.35,165.15,83.53,69,46,6.06,scattered clouds
327,Namie,JP,37.4833,141.0,49.98,36,7,3.76,clear sky
328,Fare,PF,-16.7,-151.0167,80.06,77,73,12.24,moderate rain
329,Manono,CD,-7.3,27.4167,68.76,98,100,2.46,overcast clouds
330,Tezu,IN,27.9167,96.1667,65.59,47,29,2.64,scattered clouds
331,Vila Velha,BR,-20.3297,-40.2925,78.75,88,75,5.01,light rain
332,Agirish,RU,61.9247,63.0231,-5.4,95,100,4.16,overcast clouds
333,Lanzhou,CN,36.0564,103.7922,31.28,25,100,1.57,overcast clouds
334,Gubskaya,RU,44.3164,40.6358,9.66,92,69,5.01,broken clouds
335,Ahuimanu,US,21.4447,-157.8378,78.51,67,75,4.0,mist
336,West Wendover,US,40.7391,-114.0733,25.81,80,90,0.0,overcast clouds
337,Zhigansk,RU,66.7697,123.3711,-49.65,99,70,3.0,broken clouds
338,Meridian,US,43.6121,-116.3915,43.5,78,1,5.01,clear sky
339,Berwick,US,41.0545,-76.2333,32.14,54,6,4.0,clear sky
340,Sorland,NO,67.667,12.6934,33.67,93,100,26.28,light rain
341,Hirara,JP,24.8,125.2833,73.67,88,75,17.27,broken clouds
342,Parvatipuram,IN,18.7833,83.4333,66.43,45,0,3.02,clear sky
343,Esmeraldas,BR,-19.7625,-44.3139,76.06,93,15,1.99,few clouds
344,San Carlos De Bariloche,AR,-41.1456,-71.3082,67.75,30,20,3.44,few clouds
