City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
565,Ambilobe,MG,78.19,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
568,La Asuncion,VE,78.53,broken clouds,11.0333,-63.8628,Colinas de Matasiete
573,Yeppoon,AU,89.38,clear sky,-23.1333,150.7333,Villa Mar Colina
576,Chum Phae,TH,77.97,clear sky,16.5443,102.0992,Major Grand
588,Rosario,AR,78.82,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
593,Sambava,MG,77.74,overcast clouds,-14.2667,50.1667,Melrose
594,Sao Joao Da Barra,BR,75.97,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
595,Waipawa,NZ,70.43,few clouds,-41.4122,175.5153,Tora Coastal Walk
597,Pandharpur,IN,71.87,clear sky,17.6667,75.3333,Pandharinath Lodge and Restaurant
600,Puerto Madero,MX,79.38,clear sky,14.7208,-92.4215,Hospedaje madero
601,Dawei,MM,80.71,clear sky,14.0833,98.2,Hotel Dawei
603,Japoata,BR,76.93,overcast clouds,-10.3467,-36.8011,Pousada Aragão
604,Ponedera,CO,78.94,scattered clouds,10.641,-74.7503,HOTEL SHALOM
606,Bubaque,GW,80.98,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
608,Wanning,CN,72.84,overcast clouds,18.8003,110.3967,Paradise Hotel
609,Port Blair,IN,79.05,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
610,Santa Rosa,PH,85.08,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
613,Kupang,ID,86.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
619,Sai Buri,TH,83.91,clear sky,6.7013,101.6168,ร้าน​ เวดดิ้ง
622,Badvel,IN,70.45,clear sky,14.75,79.05,UNS Residency Lodge A/c
623,Tecoanapa,MX,78.21,clear sky,16.5167,-98.75,Hotel Manglares
624,Sungai Besar,MY,82.45,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
629,Bouna,CI,70.99,clear sky,9.2667,-3.0,Hôtel lababa
630,Kieta,PG,85.1,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
632,Pandan,PH,81.57,overcast clouds,14.0453,124.1694,Bonifacio Lodge
635,Manokwari,ID,79.34,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
637,Alofi,NU,85.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
639,Ngunguru,NZ,81.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
641,Cooma,AU,76.77,clear sky,-36.2333,149.1333,High Country Motel
642,Bermejo,AR,76.91,clear sky,-32.8833,-68.8,Muras Apart Hotel
644,Itarema,BR,80.01,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
648,Ballina,AU,86.18,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
653,Tibacuy,CO,83.14,overcast clouds,4.3511,-72.4564,hospedaje las palmas
659,San Felipe,VE,73.51,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
661,Karad,IN,70.23,clear sky,17.2833,74.2,Hotel Sugam Lodging
662,Zwedru,LR,70.25,clear sky,6.0667,-8.1281,Elijah Worjloh
663,Caete,BR,74.43,scattered clouds,-19.88,-43.6697,Hotel Vovó Duda
664,Nelson Bay,AU,77.11,light rain,-32.7167,152.15,Mantra Nelson Bay
665,Marsh Harbour,BS,70.12,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
666,Palembang,ID,77.09,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
668,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
670,Playas,EC,72.3,overcast clouds,-2.6333,-80.3833,Hostal Promenade
671,Kiama,AU,73.99,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
673,Farafangana,MG,76.8,scattered clouds,-22.8167,47.8333,Miarina
674,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
675,Santa Cruz,BO,76.46,heavy intensity rain,-17.8,-63.1667,Aviador Hotel Boutique
678,Dwarka,IN,71.94,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
